cluster_10_nome_marem,annotazioni_parsate,count
MaltrattanoDeboli,disprezzano donne,3
MaltrattanoDeboli,maltrattano bambini,10
MaltrattanoDeboli,maltrattano deboli,32
MaltrattanoDeboli,maltrattano donne,4
MaltrattanoDeboli,maltrattano minori,2
MaltrattanoDeboli,non prendono cura,2
MaltrattanoDeboli,non rispettano donne,2
MaltrattanoDeboli,non rispettano famiglia,2
MaltrattanoDeboli,non sanno figli,25
MaltrattanoDeboli,religione a misoginia,2
MaltrattanoDeboli,religione a pedofilia,4
MaltrattanoDeboli,sfruttano deboli,2
MaltrattanoDeboli,sfruttano donne,2
MaltrattanoDeboli,sono misogini,7
MaltrattanoDeboli,sono pedofili,10
MaltrattanoDeboli,sono sottomesse,2
MaltrattanoDeboli,sottomette donna,2
MaltrattanoDeboli,trattano donne,3
PortanoDegrado,danneggiano ambiente,3
PortanoDegrado,deturpano città,4
PortanoDegrado,frugano in cassonetti,3
PortanoDegrado,inquinano,12
PortanoDegrado,portano degrado,13
PortanoDegrado,portano malattie,39
PortanoDegrado,rovinano ambiente,5
PortanoDegrado,rovistano in spazzatura,3
PortanoDegrado,sono sporchi,31
PortanoDegrado,vivono in degrado,2
SonoEstremistiReligiosi,convertire italia,2
SonoEstremistiReligiosi,costrette velo,3
SonoEstremistiReligiosi,religione a violenza contro,4
SonoEstremistiReligiosi,sono estremisti,10
SonoEstremistiReligiosi,sono fanatici,3
SonoEstremistiReligiosi,sono fondamentalisti,2
SonoEstremistiReligiosi,sono integralisti,14
SonoEstremistiReligiosi,sono islamici,2
SonoEstremistiReligiosi,sono mussulmani,22
SonoEstremistiReligiosi,sono musulmani,14
SonoEstremistiReligiosi,sono terroristi,85
SonoEstremistiReligiosi,vogliono convertire,4
SonoInferiori,disturbano,2
SonoInferiori,hanno problemi,3
SonoInferiori,meritano pene,2
SonoInferiori,non benvoluti,3
SonoInferiori,non cittadini,2
SonoInferiori,non hanno casa,5
SonoInferiori,non hanno diritti,6
SonoInferiori,non hanno diritto,3
SonoInferiori,non integrar,9
SonoInferiori,non integrare,5
SonoInferiori,non italiani,6
SonoInferiori,non meritano,3
SonoInferiori,non meritano aiuto,5
SonoInferiori,non necessaria,2
SonoInferiori,non utili,3
SonoInferiori,rovinano italia,19
SonoInferiori,sono feccia,27
SonoInferiori,sono indegni,2
SonoInferiori,sono inferiori,21
SonoInferiori,sono problema,2
SonoInferiori,vanno puniti,4
SonoInferiori,è inferiore,3
SonoInvasori,conquistare europa,2
SonoInvasori,conquistare italia,6
SonoInvasori,conquistare occidente,2
SonoInvasori,convertire stati,5
SonoInvasori,imporre dittatura,2
SonoInvasori,invadendo europa,4
SonoInvasori,invadendo italia,50
SonoInvasori,invadere europa,5
SonoInvasori,invadere italia,32
SonoInvasori,invadono italia,5
SonoInvasori,invaso italia,10
SonoInvasori,non democratici,2
SonoInvasori,non rispettano autorità,8
SonoInvasori,non rispettano legge,2
SonoInvasori,non rispettano leggi,6
SonoInvasori,non rispettano regole,5
SonoInvasori,non vogliono democrazia,2
SonoInvasori,odiano italiani,4
SonoInvasori,rovinando italia,2
SonoInvasori,sono abusivi,4
SonoInvasori,sono autoritari,10
SonoInvasori,sono clandestini,20
SonoInvasori,sono illegali,2
SonoInvasori,sono intolleranti,17
SonoInvasori,sono invasori,72
SonoInvasori,sono invasori sono,2
SonoInvasori,sono irregolari,53
SonoInvasori,sono nomadi,52
SonoInvasori,sono padroni,5
SonoInvasori,sono prepotenti,5
SonoInvasori,sono succubi,2
SonoInvasori,sono troppi,12
SonoInvasori,sostituiscono italiani,2
SonoInvasori,vanno affrontati,9
SonoInvasori,vanno cacciati,20
SonoInvasori,vanno contrastati,13
SonoInvasori,è illegale,3
SonoInvasori,è incontrollata,6
SonoParassiti,eludono fisco,3
